Brand_ID,Brand,Owner,Ownership Type,Notes
66,Boudin Sourdoug,Daniel Giraudo,Family owned,"Founded in 1849, it's the oldest continually running business in San Francisco. In 1941 it was bought by Steven Giraudo who worked there. Then it was sold around several times before being repurchased by Steven grandson Daniel in 2002."
67,Boudrewaux's butt paste,Prestige Consumer Healthcare Inc,Megacorp,Owned by Fleet Laboratories which is owned by Prestige Consumer Healthcare
68,Bounty,Procter & Gamble,Megacorp,
69,Bran Flakes,Post,Megacorp,
70,Brawny,Koch Industries,Megacorp,The Koch family megacorp- this is through their ownership of Georgia Pacific LLC
71,Breton,Dare foods,Family owned,Canadian family owned since 1889
72,Breyer's,Unilever,Megacorp,
73,Brianna's dressing,La Costena,Megacorp,
74,Bucked Up,Jeff & Ryan Gardner,Founder family owned,"Founded by twin brothers. These guys are social media marketers, not nutritionists, but hey. They're not the CCP."
75,Burt's Bees,Clorox,Megacorp,
76,Burts Bees,Clorox,Megacorp,
77,Butterfinger,Ferrero Group,Family owned,
78,C4,Doss Cunningham with megacorp backing,Megacorp,"Doss Cunningham is primary owner, CEO and board chair, but Keurig-Dr Pepper purchased a 30% stake in the company."
79,Cacique,Cardenas family,Family owned,
80,Cafe Bustelo,J. M. Smucker ,Megacorp,
81,Calidad,Gruma Corp.,Megacorp,
82,California Pizza Kitchen,Nestle,Megacorp,
83,Calypso Lemonade,King juice company,Private Equity,
84,Camilia,Boiron,Megacorp,Based in France and traded on the French exchange. Majority owned by the Boiron family
85,Camille Rose,Janelle Evans,Female founder owned,
86,Cantu,PDC brands,Private Equity,
87,Cap'n Crunch,PepsiCo,Megacorp,
88,Carefree liners,Johnson & Johnson,Megacorp,
89,Carol's daughter,L'oreal,Megacorp,Bettencourt family & Nestle control majority stakes
90,Carrs,Pladis Global,Megacorp,
91,Cascade Ice,Mike Broadwell & Mark Christensen,Founder owned,Owned via Unique Beverage Company
92,Catalina Crunch Cereals,Catalina Crunch,Founder Owned,
93,Caulipower,Gail Becker,Founder owned,Gail has two sons with celiac disease
94,Celcius,Celcius holdings,Megacorp,
95,Celestial Seasonings,Hain Celestial Group,Megacorp,
96,Centrum,Haleon,Megacorp,Previously owned by Pfizer and GSK
97,CeraVe,L'Oreal,Megacorp,L'Oreal is majority owned by the investment arm of the Bettencourt-Meyers family alongside Nestle.
98,Cerebelly ,Dr. Teresa Pursner & Nick Langan,Female founder owned,"Dr. Pursner is a practicing neurosurgeon, PhD in developmental neurobiology from Stanford and mom of three."
99,Certain Dri,"Clarion Brands, LLC",Private Equity,"Clarion is owned by Bridges Consumer Healthcare, LLC, which is owned by Charlesbank Capital Partners, IE private equity"
100,Cetaphil,Galderma- Owned by EQT + Abu Dhabi Investment Authority (ADIA),Megacorp,"Originally developed by L'Oreal- then sold to Nestle, then sold to consortium of institutional investors EQT+ADIA"
101,Charmin,Procter & Gamble,Megacorp,
102,Cheddies,Pergola family,Family owned PE backed,Unclear how much private equity is involved. They've recieved at least $800k plus in PE backing
103,Cheerios,General Mills,Megacorp,
104,Cheetos,PepsiCo,Megacorp,
105,Cheez Its,Kellanova,Megacorp,"So, apparently last year Kellogg's split into two companies, Kellanova owns a lot of the extra brands they had. Kellogg's, I believe has the cereals..."
106,Chex,General Mills,Megacorp,
107,CHI,Farouk Shami,uhhh.... founder big money owned?...,
108,Chicken in a Biscuit,Nabisco,Megacorp,
109,Chocolate Necesities,Kevin Buck,Founder owned,My hometown chocolatiers!
110,Chocolove,Timothy Moley,Founder owned,
111,Chosen Foods,Butterfly Equity,Private Equity,
112,Cinnamon Toast Crunch,General Mills,Megacorp,
113,Clamato,JAB holding company,Megacorp,
114,Classico,Kraft-Heinz,Megacorp,Majority owned by Warren Buffet
115,Clean & Clear,Johnson & Johnson,Megacorp,
116,Clean Age,Rachel Peters,Female Founder Owned,Founded by Rachel Peters- kinda cookie cutter website...
117,Clima plex,Simon Ostler,Founder owned I think,
118,Close-Up,Unilever,Megacorp,
119,Club,Kellanova,Megacorp,
120,Coco Wheats,Post,Megacorp,
121,Cocoa Puffs,General Mills,Megacorp,
122,COLAB,SLG brands,Private Equity,Founded by Miles Dunkley
123,Colgate,Colgate Palmolive,Megacorp,
124,Cookie Crisp,General Mills,Megacorp,
125,Cora ,Molly Haward,Female Founder Owned,
126,Corn Flakes,Kellogg's,Megacorp,
127,Corn Pops,Kellogg's,Megacorp,
128,Cottonelle,Kimberly-Clark,Megacorp,
129,Country Life,Lion Equity Partners,Private Equity,
130,Cracklin' Oat Bran,Kellogg's,Megacorp,
131,Crest,Procter & Gamble,Megacorp,
132,Cretor's Popcorn,C. Cretors & Co,Family Owned,
133,Crispix,Kellogg's,Megacorp,
134,Crispy Rice,Nature's Path,Founder Family Owned,
135,Crystal,Private Equity ,Private Equity,"French Transit, LLC owned by Juggernaut Capital Partners"
136,Crystal Ice,Anheuser Busch,Megacorp,
137,Curls,Mahisha Dellinger,Female founder owned,
138,Death Wish Coffe Co.,Michael Brown,Founder owned,Apparently this coffee is like 4x as strong as regular coffee because of bean selection and special roasting techniques...
139,Degree,Unilever,Megacorp,
140,Derma E,Topix Pharmaceuticals,Private Equity,Acquired in 2018
141,Desitin,Johnson & Johnson,Megacorp,
142,Differin,Galderma- Owned by EQT + Abu Dhabi Investment Authority (ADIA),Megacorp,
143,Digiorno,Nestle,Megacorp,
144,Disney100,Post,Megacorp,
145,Dole,,Megacorp,
146,Donut Shop Coffee,JAB Holding Company,Megacorp,Owned via Keurig-Dr. Pepper which is 78% owned by JAB
147,Doritos,PepsiCo,Megacorp,
148,Dot's Pretzels,Hershey's,Megacorp,
149,Dove,Unilever,Megacorp,
150,Dr. Bronner's,Bronner's family,Family owned,Checkout the wikipedia page for a fun read
151,Dr. Natural,Gary Taneja,Privately owned,Gary Taneja bought the company in 2009
152,Dr. Squatch,Jack Haldrop,Founder owned- private equity backed,Backed by Harlan Capital (and possibly others?)
153,Dreyer's,Nestle,Megacorp,
154,Duke Cannon,Main Post Partners,Private Equity,
155,Dunkin Donuts,Inspire Brands,Private Equity,
156,Dunkin',Inspire Brands,Private Equity,"One of the giant PE conglomerates destroying the food service space. They also own Arby's, Sonic, Buffalo Wild Wings, Baskin Robbins, and Rusty Taco."
157,Dymatize,Post Holdings Inc,Megacorp,You know... the cereal company...
158,Earth's Best,The Hain Celestial Group,Megacorp,Have been caught with high levels of toxic heavy metals in their baby food
159,Ecoco inc,Nobody knows,Effing mystery,
160,Eczema Honey,Minesh Patel,Founder owned,
161,Edward & Sons,Joel Dee,Family owned,Dude started a whole trading company. Seems like a pretty cool old hippy.
162,Egyptian Magic,LordPharaoh ImHotepAmonRa,Founder owned,This is not a joke... this is for real.
163,Eight O'Clock Coffee,Tata Group,Megacorp,India's largest conglomorate. $150 billion in revenue last year.
164,Emergen-C,Pfizer,Megacorp,
165,Endangered Species Chocolate,Wayne Zink & Randy Deer,Privately owned,"Super weird, sketchy acquisition where they seem to have stollen the company from the owner after an investment deal went south. The founder then sued for $18 million and they have clearly tried very hard to erase all memory of it from the internet. The only source I could find is here. Bottom line- I spent like half an hour just trying to find out who owns them and that sketches me out and I don't like them..."
166,Enfamil,Reckitt Benckiser Group,Megacorp,More than 200 lawsuits pending...
167,Equal Exchange,Employee owned,Employee owned Co-op,"This seems like it could be pretty sketchy... but a lot more digging would be required to uncover that. Company HQ is in the states, but all the workers and farmers are in third world countries..."
168,Equate Beauty,Walmart ,Megacorp,
169,Erin Baker's ,Erin Baker's ,Founder Family Owned,
170,Eva NYC,Bansk Group,Private Equity,
171,Everyman Jack,Private Equity ,Private Equity,"The Carlyle Group- super sketchy, look them up"
172,Ezekiel 4:9 Cereal,Food For Life,Founder Family Owned,
173,Fairy Tales Haircare,Risa Barash,Female founder owned,Have sponsored this channel and are awesome! Highly recommended for kids and adults.
174,Famous Dave's,MTY franchising,Private Equity,
175,Famous Daves,MTY Food Group,Megacorp,Fidelity pickles
176,Farina Mills,Post,Megacorp,
177,Ferrero,Ferrero Group,Family owned,"Owned by the Ferrero Family, super secretive and mysterious apparnetly... spooky..."
178,Fiber One,General Mills,Megacorp,
179,Filippo Berio,Bright Food,Megacorp,Second largest China based food company
180,Fiora,PT Sinar Mas Group (Eka Tjipta Widjaja & Family),Megacorp,Technically family owned- but this is a megacorp for all intents and purposes
181,Fisher Price,Matel,Megacorp,
182,Folgers,J. M. Smucker ,Megacorp,
183,Forager Project Cereals,Forager Project,Founder Owned,Danone has purchased a minority stake in the company
184,Frank's Red Hot,McCormick,Megacorp,
185,French's,McCormick,Megacorp,
186,Freschetta,Schwan's Consumer Brands,CJ CheilJedang,"CJ CheilJedang is a South Korean international food, pharmaceutical, and biotechnology company..."
187,Freshwater,Hutcherson Family,Family owned,Based in Australia
188,Frigo,Saputo family,Family owned,"One of the largest producers of ""extended shelf life dairy products"" in the world. (IE this shit aint cheese, even if it is family owned.)"
189,Fritos,PepsiCo,Megacorp,
190,From the Groud Up,Aaron Greenwald & Private Equity,Private Equity,PE firm Halen Brands seems too involved to call this founder owned. Plus they are acquiring tons of other niche snack brands like greedy little private equity bees.
191,Froot Loops,Kellogg's,Megacorp,
192,Frosted Flakes,Kellogg's,Megacorp,
193,Frosted Mini Wheats,Kellogg's,Megacorp,
194,Fruit Juice Sweetened Corn Flakes,Nature's Path,Founder Family Owned,
195,Function of beauty,Zahir Dossa,Founder owned,
196,G Fuel,Clifford Morgan,Founder owned,"Some controversy worth looking into. This brand was targetting e-sports from the start, not athletics"
197,Galbani,Lactalis,Megacorp (French),
198,Garden of Life,Nestle,Megacorp,
199,Garnier,L'oreal,Megacorp,
200,Gatorade,Pepsico,Megacorp,
201,Gerber,Nestle,Megacorp,
202,Gerber Good Start,Gerber,Megacorp,"Heavy metals in their baby food, and in their infant formula- though the judge dismissed the case because plaintiffs didn't prove 'financial harm' ... uhhh.... Here is the original government report"
203,Gevalia,Kraft Heinz,Megacorp,
204,Ghiradelli,Chocoladefabriken Lindt & Sprüngli AG,Megacorp,Owned by Lindt
205,Ghost,Dan Lourenco & Ryan Hughes,"Megacorporate-backed, founder owned",Entered into a big deal with Anheuser-Busche Inbev back in 2020 when they launched the energy drinks
206,Gillete,Procter & Gamble,Megacorp,
207,Girard's dressing,HACO ,Private Equity,
208,Glaxon,Michael Bischoff Jr.,Founder owned,"Partnered with GNC for distribution, does not appear to affect ownership."
209,Gloria Jean's Coffees,Retail food group,Megacorp,Australian based owned by a bunch of big AUS money
210,Glutino,Tyson Foods,Megacorp,
211,GNC,Harbin Pharmaceutical,Megacorp,The biggest pharma company in China- mostly state owned.
212,Gold Leaf Tea,Coca-cola,Megacorp,
213,Golden Crisp,Post,Megacorp,
214,Golden Grahams,General Mills,Megacorp,
215,Goldfish,Campbell's Soup Company,Megacorp,Pepperidge Farm remembers 
216,Goli Nutrition,Michael Bitensky,Founder owned,
217,Good Thins,Mondelez International,Megacorp,
218,Goodnites,Kimberly-Clark,Megacorp,Formerly Pull Ups Goodnites
219,Gorilla Munch,Nature's Path,Founder Family Owned,
220,Grape-Nuts,Post,Megacorp,
221,Great Grains,Post,Megacorp,
222,Great Value,Walmart,Megacorp,
223,Green Dragon,Unique Beverage Co,Founder owned,Same company that makes cascade ice
224,Green Mountain Coffee Roasters,JAB Holding Company,Megacorp,
225,Grey Pupon,Kraft-Heinz,Megacorp,
226,Guayaki,,B-corp,Sends lots of money to rainforest rehab
227,Haggen Das,General Mills,Megacorp,
228,Hair Biology,Procter & Gamble,Megacorp,
229,Happy Baby,Danone,Megacorp,
230,Hask,Inspired Beauty Brands,Private Equity,
231,Hawaiian Brand Chips,Utz Brands,Megacorp,
232,Hawaiian Punch,JAB holding company,Megacorp,
233,Head & Shoulders,Procter & Gamble,Megacorp,
234,Healthy Teas,Lauren Culbreth,Founder owned,
235,Heath,The Hershey Company,,
236,Heinz,Kraft-Heinz,Megacorp,
237,Hello Products,Colgate-Palmolive,Megacorp,
238,Herbal Essences,Procter & Gamble,Mega corporation,
239,Heritage Flakes,Nature's Path,Founder Family Owned,
240,Heritage O's,Nature's Path,Founder Family Owned,
241,Heritage Store,HGGC ,Private Equity,Owned by Neutraceutical which was acquired by HGGC
242,Hero,Church & Dwight,Megacorp,
243,hers,Hims & Hers Health Inc.,Megacorp,
244,Hershey's,The Hershey Company,Megacorp,
245,Hershey's Kisses,The Hershey Company,Megacorp,
246,Hi-Brew Coffee,David Smith,Founder owned,
247,Hidden Valley,Clorox,Megacorp,
248,High Key Cereals,High Key Snacks,Founder Owned,AJ Patel is the founder and he is a serial entrepreneur if you know what I mean...
249,hollywood beauty,Mezzanine capital Maven Hill Capital,Private Equity,
250,Honey Bunches of Oats,Post,Megacorp,
251,HONEY MAID S’mores,Post,Megacorp,
252,Honey Ohs!,Post,Megacorp,
253,Honey Smacks,Kellogg's,Megacorp,
254,Honeycomb,Post,Megacorp,
255,HU,Mondelez International,Megacorp,
256,Huggies,Kimberly-Clark,Megacorporation,
257,Humble,Jeff Shardell,Founder Owned,"Jeff Shardell- super transparent on website, super natural"
258,Hunts,Conagra Brands,Megacorp,
259,Hyland's naturals,Standard Homeopathic Co,Private Equity?,"uhhhhh... maybe read this if you're using their teething tablets... Or any of their products. Very opaque, seems sketchy."
260,IsoPure,Glanbia Plc,Megacorp,At least the top shareholders aren't Blackrock and Vanguard
261,It's a 10,Carolyn Aronson,Female founder owned,
262,Jason,Hain Celestial Group,Megacorp,
263,John Freida,John Freida,Founder owned,
264,Johnsons,Johnson & Johnson,Megacorporation,
265,Jozi curls,Capetown Toiletry company,Mystery money,Super fuckin sketchy
266,Juanitas,Dominguez Family Foods,Family Owned,Based in Oregon
267,Juantonio's,Dominguez Family Foods,Family Owned,Based in Oregon
268,Jumex,La Costena,Megacorp,
269,Junior Mints,Tootsie Roll Industries,Megacorp,
270,Jym,Jim Stoppani,Founder owned,"Dude is a Dr. and is yoked, and has A+ mission statements."
271,K'Ul,Paul Newman and Ari Lee-Newman,Founder owned,"Not the Paul Newman of Newman's own, different Paul. This company seems very invested in advocating for worker and farmer rights."
272,Kaged,Michael McClane,Founder owned I think?,One of the founders left on this message in 2023. Some controversy... it's a little unclear how the ownership structure changed. It doesn't appear to have been bought out?
273,Kandoo Kids,Nehemia Manufacturing,Private Equity? ,Maybe just go see for yourself? Probably better than J&J
274,Kashi,Kellogg's,Megacorp,
275,Ken's dressing,Crowley & Hannah families,Family owned,
276,Kendamil,Kendal Nutricare,Family owned,Owned by the McMahon family- brothers Dylan and Will and their dad Ross
277,Kenra,Henkel,Mega corporation,
278,Kern's,La Costena,Megacorp,
279,Keto Organic Cereal,Nature's Path,Founder Family Owned,
280,Kinder,Ferrero Group,Family owned,
281,Kinder BBQ sauce,Ignite,Private Equity,
282,Kinky Curly,Shelley Davis,Female founder owned,
283,KitKat,The Hershey Company,Megacorp,
284,Kix,General Mills,Megacorp,
285,Kleenex,Kimberly-Clark,Megacorp,
286,Koala Crisp,Nature's Path,Founder Family Owned,
287,Kotex,Kimberly-Clark,Megacorp,
288,Kraft,Kraft-Heinz,Megacorp,
289,Krave,Kellogg's,Megacorp,
290,L'Oreal,L'Oreal,Megacorp,
291,La Roche Posay,L'Oreal,Megacorp,
292,Lance,Campbell's Soup Company,Megacorporation,
293,Landmark Coffee,Landman Family,Family owned,"Founded by Carl Landman, now run by his son Jim. Not to be confused with the numerous other Landmark coffee companies out there. This one is, I believe, registered as Carl Landman Co., Inc."
294,Langer's,Langer family,Family owned,
295,Lays,PepsiCo,Megacorp,
296,Lea & Perrins (worstechire sauce),Kraft-Heinz,Megacorp,
297,Lesley Stowe,Dare foods,Family owned,
298,Life Cereal,PepsiCo,Megacorp,
299,Life Doesn't Stink (Stinkbug Naturals),Ben & Jade Bower,Founder Owned,
300,Lifewater,Pepsico,Megacorp,
301,Lily's,The Hershey Company,Megacorp,
302,Lindt,Chocoladefabriken Lindt & Sprüngli AG,Megacorp,Vanguard owns 30% of the shares of Lindt's parent company
303,Lipton,Pepsico/Unilever,Megacorp,Some sort of split ownership deal. 
304,Liquid IV,Unilever,Megacorp,Acquired in 2020 for an undisclosed amount
305,Little remedies,Prestige Consumer Healthcare Inc,Megacorporation,
306,Little Spoon,"Lisa Barnett, Angela Vranich, Michelle Muller, and Ben Lewis",Founder owned,
307,Lola,Alex Friedman & Jordana Kier,Female Founder Owned,
308,Louisiana Fish Fry,MidOcean,Private Equity,
309,Love Crunch,Nature's Path,Founder Family Owned,
310,Lubriderm,Johnson & Johnson,Megacorp,
311,Lucerne,Albertsons,Megacorp,
312,Lucky Charms,General Mills,Megacorp,
313,Lume,Harry's ,Private Equity,"Lume was Harry's first acquisition- Harry's is still controlled by the founders, but they seem to be trying to become mega corporate. Tried to sell out to Edgewell in 2021 but were blocked by the FTC"
314,Luvs,Procter & Gamble,Megacorporation,
315,Luxe Beauty,Jane May Graves,Female Founder Owned,"Jane is a chemist and a certified bad ass. One of the highest integrity companies I've found when it comes to natural, non-toxic ingredients. She avoids cheap oils in her products and packages in glass to avoid plastic exposure. Next level. Check out the blog on her website for a bunch of deep dives on the beauty industry and products."
316,Luzianne,Reily Family,Family owned,
317,M&M's,Mars,Megacorp,
318,Mad Rabbit,Oliver Zak & Selom Agbitor,Founder owned,"Tattoo specific natural skincare, but lots of great products for general skin wellness"
319,Magic All-one chocolate,The Bronner Family,Family owned,This is Dr. Bronner's chocolate brand
320,Magic Spoon Cereals,Magic Spoon,Founder Owned,
321,Malt-O-Meal,Post,Megacorp,
322,Malt-O-Meal Hot,Post,Megacorp,
323,Mama Bear Organics,Amazon,Megacorp,
324,Mane 'n Tail,Katzev family,Family owned,Have a hillarious TikTok account- great for animals and for humans
325,Marc Anthony,MAV ,Private equity/insider controlled corporation,
326,Martinelli's,Marinelli family,Family owned,
327,Mary's gone Crackers,Kameda Seika,Japanese Megacorp,I was hoping it would be Mary... but it's not...
328,Maui Moisture,Johnson & Johnson,Mega corporation,
329,McCafe,McDonald's ,Megacorp,
330,Merci Chocolate,Axel Oberwelland,Family Owned,Son of founder August Oberwelland currently runs and owns it.
331,Mesa Sunrise,Nature's Path,Founder Family Owned,
332,Method Products,S.C. Johnson & Son,Private Equity,Private Company 6th richest family in America
333,Mezzetta,Jeff Mezzetta & Family,Family Owned,Fourth generation family owned
334,Michum,Revlon- Ronald Perelman,Private Equity,Skeezy billionaire with lots of questionable connections
335,Mielle,Procter & Gamble,Mega corporation,
336,Milky Way,Mars,Megacorp,
337,Miltons,Bary Robbins & David Levy,"Founder owned, PE backed",Unclear how much PE is involved
338,Minute Maid,Coca-Cola,Megacorp,
339,Miracel Whip,Kraft-Heinz,Megacorp,
340,Miss Jessie's,Miko Branch,Female founder owned,Bad Ass. RIP to Titi <3
341,Mission Chips,Gruma Corp.,Megacorp,Based in Mexico
342,Mom's Best,Post,Megacorp,
343,Monday,Zuru Edge,Privately owned,CEO Jaimee Lupton is partner of Zuru founder
344,Monster,Monster Beverage Corp,Megacorp,
345,Mother's Shea,Eugenia Akuete,Founder owned,
346,Mott's,JAB holding company,Megacorp,
347,Mt Olive,Privately Owned,Privately owned,SOME CRAZY STORY COME BACK TO THIS
348,Mueslix,Kellogg's,Megacorp,
349,Muscletech,Xiwang Foodstuffs,Megacorp,"Owned via Iovate Health Sciences International which is owned by Xiwang, a Chinese mega corp focussed on seed oils for the most part."
350,Nad's,Sue Ismiel,Founder owned,
351,Nalley,Conagra Brands,Megacorporation,
352,Napoleon,Magnano Family,Family owned,Fourth generation family owned
353,Natean,GSK,Megacorp,
354,Native,Procter & Gamble,Megacorp,
355,Natracare,Susie Hewson,Female Founder Owned,Since 1989! the GOAT
356,Natrol,Aurobindo Pharma USA inc.,Mega Corporation,
357,Nature Made,Otsuka Pharmaceutical Co.,Mega Corporation,
358,Nature's Bounty,Nestle,Mega Corporation,
359,Nature's Way,Schwabe Group,Mega Corporation,
360,Neutrogena,Johnson & Johnson,Megacorp,
361,Newman's Own,The Newman's Own Foundation,Private Non-Profit,This company is the GOAT. They donate 100% of profits to charity and have donated more than $570 million worldwide through Newman's Own Foundation. However- this article details the family fight for control over the company after Paul's death.
362,Niagara Chocolates,Migros,Co-op,"Niagara chocolate was bought by Migros, Switzerland's largest retailer and employer. It is apparently a worker's co-op."
363,Nib Mor,Heather K. Terry & Private Equity backers,complicated,"Founded by Heather K. Terry, but a lot of funding rounds have taken place. Emil capital partners and possibly other VC firms are involved, it's hard to say if Terry is still in charge or not. "
364,Nidio,Nestle,Megacorporation,I'll just leave this here...
365,NOS,Monster Beverage Corp,Megacorp,
366,Not your mothers,Bethany and Rocky Pagliarulo,Founder family owned,
367,Nudy Rudy,Value Max Products,Private Equity,Classic attempt at hiding the parent company from you because it's kinda sus...
368,Numi,Ahmed Rahim and Reem Hassani,Family owned,"Brother and sister who imigrated from Baghdad, Iraq in 1971"
369,Nutramigen,Reckitt Benckiser Group,Megacorporation,Mead Johnson is owned by Reckitt Benckiser Group and facing several class action lawsuits over baby formula
370,O Organics,Albertson's,Megacorporation,
371,Oatmeal Crisp,General Mills,Megacorp,
372,OB Tampons,Edgewell Personal Care,Megacorp,
373,Ocean Spray,Co-op,Farmer's Co-op,
374,Odele,"Shannon, Britta, Lindsay",Female Founder owned,
375,Off Court,Bani Bahari & Jonathan Lawrence,Family owned,Founders are married. Company is minority owned and backed by private equity Cartograph Ventures and Intonation Ventures
376,OGX,Johnson & Johnson,Mega corporation,
377,Oh Henry!,The Hershey Company,Megacorp,
378,Oilogic,Jordan Morrow & Worth Anne Herrell,Female Founder owned,
379,Olaplex,Advent International,Private Equity,
380,Olay,Procter & Gamble,Megacorp,
381,Old Spice,Procter & Gamble,Megacorp,
382,Olly Nutrition,Unilever,Mega Corporation,
383,Once Upon A Farm,Jennifer Garner & John Foraker,Founder owned,
384,One A Day,Bayer,Mega Corporation,
385,One Mighty Mill,One Mighty Mill,Founder owned,Founded by John Olinto
386,Optimum Nutrition (ON),Glanbia Plc,Megacorp,At least the top shareholders aren't Blackrock and Vanguard
387,Orajel,Church & Dwight,Megacorporation,
388,Oregon's Wild Harvest,Randy Buresh and Pam Martin-Buresh,Family Owned,
389,OREO O’s,Post,Megacorp,
390,Organic By Nature,David Sandoval,Founder owned,Not to be confused with the copious other similarly named brands
391,Organic Nuna,Jeff Lichtenstein,Family owned,
392,Organic Valley,Co-op,Farmer's Co-op,"Founded by George Siemon, who had previously worked for the National Organic Standards Board"
393,Organiceville,Employee Owned,Employee Owned,
394,Organicville,"Litehouse, Inc",Employee owned,
395,Pacifica,Brook Harvey Taylor and husband,Female Founder owned,
396,Pampers,Procter & Gamble,Megacorporation,
397,Panda Puffs,Nature's Path,Founder Family Owned,
398,Pantene,Procter & Gamble,Mega corporation,
399,Parent's Choice,Walmart,Megacorp,Store brand- manufactured by a subsidiary of Pfizer
400,Partners,Harris family,Family owned,"Based in Seattle, second generation"
401,Patagonia Provisions,Yvon Chouinard,Founder owned,This is the outdoor clothing company. The dude who climbs mountains.
402,Peace Tea,Coca-cola,Megacorp,
403,Pearson's Mint,Spell Capital Partners,Private Equity,
404,PEBBLES,Post,Megacorp,
405,Pediasure,Abbott Labs,Megacorporation,"""More sugar than a 12-ounce can of cola..."""
406,Peet's,JAB Holding Company,Megacorp,
407,Perodontax,Haleon,Megacorp,
408,Pert Plus,Procter & Gamble,Mega corporation, 
409,Plant Fuel,Brad Pyatt,Founder owned-mega corp backed,Has an equity partnership with GNC
410,Playtex,Edgewell Personal Care,Megacorp,
411,Plochman's,HACO,Private Equity,
412,Plum Organics,Sun-Maid,Co-op,
